"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
-1.08071598086596,-0.23359778681143,2.5e-09,2.5e-09,2.5e-09,2.5e-09,-0.567251079739852,2.5e-09,-0.989368115554017,-0.777272070907335
2.5e-09,-0.27210235639614,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09
2.5e-09,-0.821954069277781,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09
-0.0767034087120104,-1.50523566928226,-0.0280808319436601,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09,2.5e-09
2.5e-09,-2.89770868785856,-1.90862588318483,2.5e-09,-0.212867745602175,2.5e-09,2.5e-09,2.5e-09,-2.55572810059102,2.5e-09
-0.211199227988854,-4.62450617957648,-2.06977958669941,2.5e-09,-2.0878561659925,2.5e-09,-1.17143581709038,2.5e-09,-3.66274275819346,2.5e-09
-2.04359669975524,-5.63922288261714,-3.80592958725406,-1.41856682016638,-3.25513674783092,-2.4715951640135,-4.82285013850537,2.5e-09,-1.81332049664753,-2.73308006699003
1.6250435367589,-4.03986976507658,0.196316984883353,0.530633377963342,0.823993626884841,-0.890694830741187,-2.19935489003467,3.26399252729672,0.135896569478496,-1.94220821406396
2.34512285568768,-3.8939584383106,-0.414654766856833,-1.46766376404083,0.00365243971372031,-4.1315807840456,-2.66184553795613,0.402039172092776,-2.32471075790295,-5.77331117032866
2.07584035423077,0.869035988890497,2.29779256998104,0.080583768928669,1.35355854561846,-1.7197370142293,2.32882617434586,-0.591856986979495,2.49458998961711,-1.03571898168243
1.46648750862069,1.29925783891387,1.99248305308556,2.68156571706484,-0.793734601260248,1.82079724644725,2.96111098931008,0.0187208203355311,5.04791377860141,0.960101278159534
2.38002144671993,1.3191450064556,0.0487210795285051,0.563534144095541,-2.36469583787918,1.64020315885384,-1.07050624126738,-1.21574386976987,6.56109583413264,-1.52350120301774
1.57934558678339,0.562852685903398,-1.88156010708902,-3.6708057521201,-2.71754948190845,2.49543004891401,-3.71803943130113,-4.09552562671043,3.6617347735611,-1.79689087157052
-2.12763411360267,-1.41827376395184,-4.51266964761429,-7.39558743256421,-3.34847596890284,0.575033449421873,-7.87422390385863,-5.41123248237971,-0.0929584318116294,-1.99943189857739
0.446701521253669,0.8765633153261,-3.10659176291727,-4.4512872175106,-1.09539588015159,2.51309455199708,-6.23679231892923,-3.21444884843645,0.951729663438552,2.86302882569664
1.54536925150765,-0.264549967501678,-1.10035216772019,0.0198708012340596,-1.18661435858671,3.95681982761663,-1.41048222012125,0.472443560013232,0.385065944804854,5.07954499131708
-2.58211202260498,-2.16478599790634,-0.727733187344409,-0.26569739595601,-2.32538298492298,0.175903257128736,-0.6579885928964,0.122046019383914,-2.58147314290902,3.01060415503524
-6.44846723164641,-2.67647445159604,-2.69964806548063,-0.613677233011248,-4.38311774489792,-2.22275309579906,-1.33235288574059,-0.940879239152556,-4.97540309287942,0.597037019358482
-6.31906786751377,-2.55007463580558,-3.31423915741765,2.5e-09,-3.85195765872752,-4.86911734726702,-1.56046763754232,-0.970782385013884,-4.45450563617135,2.5e-09
-1.25215299793233,-0.425659759659359,-2.66802417112006,2.5e-09,-1.45915689541063,-2.93272330342419,2.5e-09,2.5e-09,-1.77088801939837,2.5e-09
2.5e-09,-0.270849677790584,-1.96277229395262,2.5e-09,-0.101317516863096,-1.78024303996622,2.5e-09,2.5e-09,-1.30071682193416,2.5e-09
-1.66951878587355,2.5e-09,-1.04473203246693,-0.657953729627014,2.5e-09,-2.0591096415634,-0.637868564805746,-1.25233784073773,-2.17849828893271,2.5e-09
-1.77527989999419,2.5e-09,-2.02492400654628,-0.996830603801984,2.5e-09,-0.549248958899645,-2.12060394198772,2.5e-09,-2.0412137897671,2.5e-09
-0.348741768905207,2.5e-09,-0.800095876167286,-0.63648096221209,-0.81363226741761,2.5e-09,-2.7282138084118,2.5e-09,-1.94294034571844,2.5e-09
